time,v_rl,v_rr,delta_fl,delta_fr
42.1245903968811,0.4904758250468636,0.5093508482564243,0.05891699062873457,0.05656970053421784
42.1429967880249,0.4905000581098574,0.5093034631217104,0.058795323365077756,0.056457427342849975
42.161744117736816,0.49050455310053254,0.5092580700928792,0.05867376961081128,0.05634519545264194
42.18281102180481,0.49048587962118234,0.5092276737788546,0.058551223576234435,0.05623206294145877
42.20114707946777,0.4904587503900965,0.5092078381239726,0.05842499573936255,0.0561155570123093
42.22153902053833,0.4904235784769432,0.5092065455514135,0.05835953761862189,0.05605515196516375
42.240822076797485,0.49042650192493314,0.5091946922229316,0.0581530199398852,0.05586448148388623
42.26134014129639,0.4898586875528555,0.5096932176142375,0.0614106904494065,0.058866221158656806
42.277896881103516,0.4899071177404523,0.5097126813328967,0.061246517074004636,0.058715186476134384
42.29601550102234,0.4899383879224191,0.5097635368497341,0.06111153931831925,0.05859126683460314
42.31654143333435,0.49000390148647766,0.5098078792654752,0.06111153473257147,0.05859152029770165
42.33548069000244,0.4901128810674136,0.5097765732569992,0.0608248516909633,0.058328023096163584
42.35552453994751,0.49017560004968674,0.509728580429991,0.06068144851638291,0.0581961196388221
42.37377595901489,0.4902348875522813,0.5096676317562497,0.06053994641023763,0.05806573193822473
42.3956298828125,0.4902692181457909,0.5096120310768788,0.060401168429489616,0.057937714369140636
42.417500257492065,0.4902809335328662,0.5095579550796077,0.06026445705755723,0.057811644201702705
42.436710834503174,0.49024612438178705,0.5095245913707439,0.060264462926133966,0.05781155163805174
42.45620846748352,0.489622557856434,0.5099897373568066,0.06363527183277817,0.06090858519519138
42.47533369064331,0.48961031594412124,0.509980214289976,0.0635842961974058,0.060861864428156665
42.49496650695801,0.4895805169986627,0.5099582724808214,0.06346129820383872,0.0607491405769931
42.51524639129639,0.48955879671245617,0.5099446136998731,0.06333237900279709,0.06063096979328453
42.53545427322388,0.4895664522566217,0.5099455853752709,0.06312807853838098,0.060443592793252066
42.554728507995605,0.4895957263332754,0.5099413135497525,0.06298605442286398,0.0603132709900418
42.57359790802002,0.48968280390922886,0.5099642611241719,0.06276283127434557,0.060108249168834504
42.592408895492554,0.48970162153816316,0.5099896601499097,0.06276282899651342,0.0601081834193824
42.61312198638916,0.48977903669867806,0.5100122126298274,0.06260904215071594,0.05996699293488916
42.63241147994995,0.4898624585356595,0.5100121219139745,0.06245171198303634,0.05982254362827
42.65097522735596,0.48931436987789784,0.5105383226927809,0.06599338373147834,0.06306670326488106
42.669381618499756,0.48936257903146374,0.5105114451051539,0.06588895710823017,0.0629713086322985
42.68877339363098,0.48938590617561395,0.5104498863634409,0.06575218422875473,0.06284633602586975
42.7068727016449,0.489386176937751,0.5103722182883166,0.06561526332564593,0.06272119107144558
42.72695589065552,0.4893664448977329,0.5102896769211627,0.06547831834939988,0.0625959346514895
42.746954679489136,0.48932292971552244,0.5102272352670129,0.06534089928612907,0.06247028814646072
42.76578879356384,0.4892832590379153,0.5101813062650847,0.065201315818328,0.062342688430137905
42.785305976867676,0.48925991887228404,0.51015431696681,0.06505498465408888,0.062208893540570465
42.80527687072754,0.48926471999526916,0.5101498055539987,0.06490422355995218,0.06207098206627126
42.82719087600708,0.48930116995193834,0.5101646984102617,0.0647470190210413,0.06192708097301658
42.84664607048035,0.4886793761705342,0.5107791047490081,0.06855549815354678,0.06540444335973739
42.86548662185669,0.48875623547744707,0.5108622299244351,0.06844535158052345,0.06530428835652824
42.88363766670227,0.48882792368898137,0.5108818829586744,0.06829526652440432,0.06516765772622968
42.9013831615448,0.4889315031498602,0.5109070462297295,0.06814013324115642,0.06502643905247751
42.92030215263367,0.4890145054285848,0.5108957131940538,0.06798373460152352,0.06488392547852939
42.941237926483154,0.489079641632725,0.5108559183889545,0.06782761256135927,0.06474149076369429
42.96109938621521,0.4890901784205307,0.5108357288551085,0.06782761403023763,0.06474135977732765
42.978371143341064,0.48910941497732235,0.5107675336250095,0.06767248197440257,0.06459963638728894
42.99780583381653,0.4890945871313559,0.5106887089035936,0.0675186644296728,0.06445916924868555
43.018808126449585,0.48905437891536063,0.5106022611254931,0.06736462224652318,0.06431860027597658
43.03737497329712,0.4890011886349112,0.510518895203576,0.06720833225429157,0.0641760594227776
43.0557644367218,0.4882244103492708,0.5110648722761174,0.07132105256492238,0.06791835639788335
43.07523798942566,0.4882056213138092,0.5110463937635589,0.07121707823925849,0.06782408079103153
43.09724402427673,0.48820107569956256,0.5110518751413902,0.07114431874469229,0.06775808853108689
43.11556696891785,0.48825637129629873,0.5110601253140206,0.0709169999154664,0.06755170979035174
43.136168241500854,0.48833095768057355,0.5110970516347926,0.07075801387511937,0.06740723861140818
43.15422487258911,0.4884295925345737,0.5111430776643423,0.07059386888986374,0.06725795581586436
43.17566728591919,0.48852718384467897,0.511206148683227,0.07042658271712199,0.06710581929712145
43.19650340080261,0.48862995718503743,0.5112468099546222,0.070254949456241,0.06694981459816862
43.218186140060425,0.4887655810701953,0.511256776365486,0.06998944615893077,0.06670855074086379
43.238441467285156,0.48793557867674425,0.5119027195545254,0.07427783723507186,0.07059617662215523
43.26042556762695,0.48802899793791377,0.5117570398594333,0.0742128586924018,0.07053729196729108
43.28028154373169,0.48799624452035245,0.5116456871265179,0.07405465228879571,0.07039416346468386
43.303016662597656,0.4879096383592505,0.5115549048465415,0.07405465700324143,0.07039412293590175
43.325159549713135,0.48787381425780674,0.5114333952245959,0.07374030896455075,0.07010988353252223
43.344810247421265,0.4878283096804923,0.5113599691227477,0.07357943204715678,0.06996442761551158
43.36404466629028,0.48781703469793164,0.5113242990588717,0.07341526227353423,0.06981594892268017
43.386502504348755,0.48781244165541887,0.5113330934064841,0.07341526107083318,0.06981596445085803
43.40747952461243,0.487895411909644,0.5113906175209808,0.07306822683417913,0.0695019280651854
43.42940831184387,0.48805412886006233,0.5114971875759913,0.07279274605486652,0.06925276351006016
